iter	Passed	Remaining
704	21881	9156
705	21908	9123
706	21932	9089
707	21965	9059
708	22004	9031
709	22029	8998
710	22053	8964
711	22081	8931
712	22104	8897
713	22130	8864
714	22156	8831
715	22270	8833
716	22300	8802
717	22323	8767
718	22347	8733
719	22373	8700
720	22400	8668
721	22424	8634
722	22450	8601
723	22486	8572
724	22524	8543
725	22547	8509
726	22575	8477
727	22604	8445
728	22627	8411
729	22650	8377
730	22682	8346
731	22738	8324
732	22766	8292
733	22795	8260
734	22819	8227
735	22843	8193
736	22866	8160
737	22895	8128
738	22920	8095
739	22948	8063
740	22987	8034
741	23018	8003
742	23057	7975
743	23090	7944
744	23114	7911
745	23137	7878
746	23173	7848
747	23209	7819
748	23231	7785
749	23257	7752
750	23283	7719
751	23313	7688
752	23338	7655
753	23365	7623
754	23481	7619
755	23508	7587
756	23530	7553
757	23555	7520
758	23577	7486
759	23606	7454
760	23630	7421
761	23655	7388
762	23686	7357
763	23730	7330
764	23757	7298
765	23784	7265
766	23811	7233
767	23837	7200
768	23861	7167
769	23889	7135
770	23930	7107
771	23960	7076
772	23990	7045
773	24021	7014
774	24045	6980
775	24070	6948
776	24097	6916
777	24142	6888
778	24165	6855
779	24189	6822
780	24217	6790
781	24242	6758
782	24268	6725
783	24293	6692
784	24337	6665
785	24367	6634
786	24393	6602
787	24422	6570
788	24448	6538
789	24472	6505
790	24497	6472
791	24524	6440
792	24549	6408
793	24591	6380
794	24620	6348
795	24647	6316
796	24673	6284
797	24699	6252
798	24723	6219
799	24750	6187
800	24865	6177
801	24918	6151
802	24941	6118
803	24976	6088
804	25014	6059
805	25042	6027
806	25065	5994
807	25092	5962
808	25121	5931
809	25149	5899
810	25177	5867
811	25218	5838
812	25253	5808
813	25278	5776
814	25302	5743
815	25330	5711
816	25353	5678
817	25379	5646
818	25409	5615
819	25448	5586
820	25481	5555
821	25510	5524
822	25535	5491
823	25560	5459
824	25583	5426
825	25613	5395
826	25636	5362
827	25674	5333
828	25702	5301
829	25732	5270
830	25760	5238
831	25784	5206
832	25813	5175
833	25838	5142
834	25862	5110
835	25980	5096
836	26010	5065
837	26038	5033
838	26062	5001
839	26092	4970
840	26116	4937
841	26142	4905
842	26166	4873
843	26201	4842
844	26241	4813
845	26266	4781
846	26292	4749
847	26315	4716
848	26341	4685
849	26365	4652
850	26393	4621
851	26427	4590
852	26458	4559
853	26483	4527
854	26515	4496
855	26566	4469
856	26602	4438
857	26640	4409
858	26698	4382
859	26726	4350
860	26759	4320
861	26790	4288
862	26835	4260
863	26892	4233
864	26920	4201
865	26949	4169
866	26972	4137
867	27000	4106
868	27021	4073
869	27046	4041
870	27072	4009
871	27099	3977
872	27139	3948
873	27169	3916
874	27198	3885
875	27226	3853
876	27251	3822
877	27277	3790
878	27303	3758
879	27426	3739
880	27450	3707
881	27477	3676
882	27501	3643
883	27540	3613
884	27568	3582
885	27594	3550
886	27619	3518
887	27646	3486
888	27675	3455
889	27700	3423
890	27730	3392
891	27766	3361
892	27798	3330
893	27827	3299
894	27852	3267
895	27878	3235
896	27903	3204
897	27933	3172
898	27961	3141
899	27998	3110
900	28039	3080
901	28065	3049
902	28092	3017
903	28125	2986
904	28152	2955
905	28176	2923
906	28204	2891
907	28249	2862
908	28274	2830
909	28298	2798
910	28325	2767
911	28352	2735
912	28379	2704
913	28411	2673
914	28450	2642
915	28478	2611
916	28502	2579
917	28529	2548
918	28555	2516
919	28578	2485
920	28605	2453
921	28720	2429
922	28750	2398
923	28772	2366
924	28796	2334
925	28820	2303
926	28850	2271
927	28876	2240
928	28900	2208
929	28929	2177
930	28973	2147
931	29001	2116
932	29024	2084
933	29055	2053
934	29083	2021
935	29108	1990
936	29142	1959
937	29180	1928
938	29204	1897
939	29240	1866
940	29266	1834
941	29290	1803
942	29317	1772
943	29350	1741
944	29387	1710
945	29418	1679
946	29448	1648
947	29471	1616
948	29497	1585
949	29523	1553
950	29554	1522
951	29590	1491
952	29620	1460
953	29648	1429
954	29673	1398
955	29697	1366
956	29723	1335
957	29755	1304
958	29875	1277
959	29898	1245
960	29925	1214
961	29952	1183
962	29981	1151
963	30004	1120
964	30029	1089
965	30054	1057
966	30085	1026
967	30126	995
968	30153	964
969	30182	933
970	30205	902
971	30232	870
972	30259	839
973	30286	808
974	30325	777
975	30353	746
976	30382	715
977	30408	684
978	30433	652
979	30459	621
980	30487	590
981	30512	559
982	30534	528
983	30580	497
984	30608	466
985	30631	434
986	30661	403
987	30685	372
988	30711	341
989	30735	310
990	30783	279
991	30809	248
992	30837	217
993	30866	186
994	30892	155
995	30916	124
996	30945	93
997	30976	62
998	31008	31
999	31040	0
